date,return
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.045268825691443304
2021-10-03,-0.006732188534727124
2021-10-10,-0.014870407242151495
2021-10-17,-0.009372513795042114
2021-10-24,0.25025106344556125
2021-10-31,-0.0014002181980803385
2021-11-07,-0.01564030056532162
2021-11-14,-0.0711035969600432
2021-11-21,0.1234046777700557
2021-11-28,-0.00597258335147377
2021-12-05,-0.06458787857570225
2021-12-12,-0.018305045552870047
2021-12-19,0.09916119622392627
2021-12-26,-0.04843977008935618
2022-01-02,-0.08730115713715236
2022-01-09,0.08829799278994721
2022-01-16,-0.05942133699603902
2022-01-23,0.009064401430262325
2022-01-30,0.01527320234615348
2022-02-06,-0.018364019665564002
2022-02-13,-0.014144552678990951
2022-02-20,0.008106321136368555
2022-02-27,-0.012746871962920125
2022-03-06,-0.02799819162663708
2022-03-13,0.061491945213010046
2022-03-20,0.018379281111809975
2022-03-27,0.0005081883681072874
2022-04-03,-0.011812251563036558
2022-04-10,-0.021851396058404582
2022-04-17,-0.026839361324205946
2022-04-24,-0.03295453234579648
2022-05-01,-0.0016020702131168685
2022-05-08,-0.023386773416348428
2022-05-15,-0.030095636576181417
2022-05-22,0.06578042834732245
2022-05-29,-0.01136658011168512
2022-06-05,-0.05051883078562691
2022-06-12,-0.05736158539255909
2022-06-19,0.0662000406190284
2022-06-26,-0.02266194074529171
2022-07-03,0.019489090223694605
2022-07-10,-0.009108113277266683
2022-07-17,0.025861420396960932
2022-07-24,0.04277531002140145
2022-07-31,0.003592014595299231
2022-08-07,0.03296513172504412
2022-08-14,-0.011613306283408842
2022-08-21,-0.039868236372227805
2022-08-28,-0.032247018449097165
2022-09-04,0.0366102404959614
2022-09-11,-0.047850865583499935
2022-09-18,-0.04567377757294944
2022-09-25,-0.029270392930497713
2022-10-02,0.015706423250364532
2022-10-09,-0.014223164289938195
2022-10-16,0.04658437186522968
2022-10-23,0.03935441399003836
2022-10-30,-0.03256871176383902
2022-11-06,0.05888122043413402
2022-11-13,-0.006223120613229938
2022-11-20,0.015907659021942244
2022-11-27,0.01138379668789491
