date,symbol,side,raw_price,exec_price,quantity,usd_value,fee_usd,reason
2023-01-22,BTC,buy,22707.88,22753.295759999997,0.08789935405823601,2000.0,4.0,trend_entry
2024-09-08,BTC,sell,54869.95,54760.2101,0.08789935405823601,4813.387095883291,9.646066324415413,trend_exit
2024-09-15,BTC,buy,59132.0,59250.26399999999,0.08123823880148943,4813.387095883291,9.626774191766582,trend_entry
2025-11-09,BTC,sell,104722.96,104513.51408000001,0.08123823880148943,8490.493814813868,17.015017664957654,trend_exit
