date,return
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.045268825691443304
2021-10-03,-0.006732188534727124
2021-10-10,-0.014870407242151495
2021-10-17,-0.009372513795042114
2021-10-24,0.25025106344556125
2021-10-31,-0.0014002181980803385
2021-11-07,-0.01564030056532162
2021-11-14,-0.0711035969600432
2021-11-21,0.1234046777700557
2021-11-28,-0.00597258335147377
2021-12-05,-0.06458787857570225
2021-12-12,-0.018305045552870047
2021-12-19,0.09916119622392627
2021-12-26,-0.04843977008935618
2022-01-02,-0.08730115713715236
2022-01-09,0.08829799278994721
2022-01-16,-0.07637167134773315
2022-01-23,0.00031264517261586633
2022-01-30,0.017652287967761193
2022-02-06,-0.030585804470720235
2022-02-13,-0.015991663173103077
2022-02-20,0.012474138326185269
2022-02-27,-0.02449592091510855
2022-03-06,-0.03824505091292063
2022-03-13,0.08350806073376793
2022-03-20,0.02362604173211702
2022-03-27,0.006957021682198805
2022-04-03,-0.03509764503581847
2022-04-10,-0.030703230729290598
2022-04-17,-0.03850135153288359
2022-04-24,-0.03733844529847141
2022-05-01,-0.012769524618845618
2022-05-08,-0.023637501505807235
2022-05-15,-0.043916476147308425
2022-05-22,0.07073596957367712
2022-05-29,-0.009381740141793493
2022-06-05,-0.056695126668153795
2022-06-12,-0.048989061485927965
2022-06-19,0.07457955001057925
2022-06-26,-0.0423608427226112
2022-07-03,0.046857732915887906
2022-07-10,-0.01178259844825702
2022-07-17,0.03467296324439184
2022-07-24,0.04460420062756931
2022-07-31,0.019938681627228894
2022-08-07,0.026853534999615514
2022-08-14,-0.022791351604300236
2022-08-21,-0.04776057210984841
2022-08-28,-0.03991011895171459
2022-09-04,0.04038341107408083
2022-09-11,-0.05786564269089367
2022-09-18,-0.046021620483491676
2022-09-25,-0.029944255608429726
2022-10-02,0.006884604387533688
2022-10-09,-0.031066719284472022
2022-10-16,0.05630150605653217
2022-10-23,0.02105888190546734
2022-10-30,-0.05881546551124939
2022-11-06,0.08795563281255636
2022-11-13,-0.010904470971854319
2022-11-20,0.007372991176916921
2022-11-27,0.0196221060692785
