date,return
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.045268825691443304
2021-10-03,-0.006732188534727124
2021-10-10,-0.014870407242151495
2021-10-17,-0.009372513795042114
2021-10-24,0.25025106344556125
2021-10-31,-0.0014002181980803385
2021-11-07,-0.01564030056532162
2021-11-14,-0.0711035969600432
2021-11-21,0.1234046777700557
2021-11-28,-0.00597258335147377
2021-12-05,-0.06458787857570225
2021-12-12,-0.018305045552870047
2021-12-19,0.09916119622392627
2021-12-26,-0.04843977008935618
2022-01-02,-0.08730115713715236
2022-01-09,0.08829799278994721
2022-01-16,-0.1873678152718361
2022-01-23,0.0882604696359599
2022-01-30,-0.009454372434291036
2022-02-06,-0.005834406079648913
2022-02-13,-0.05065864289221611
2022-02-20,-0.024013720843021336
2022-02-27,0.007189764376972274
2022-03-06,-0.01499062388001815
2022-03-13,0.08745171019105635
2022-03-20,0.05474118820988916
2022-03-27,0.029200020579057906
2022-04-03,-0.06673135273187669
2022-04-10,-0.05555647814694176
2022-04-17,-0.02320802224736751
2022-04-24,-0.04591091639284395
2022-05-01,-0.05735753691125356
2022-05-08,-0.1518265332558647
2022-05-15,0.039203058224320575
2022-05-22,-0.04359144985654084
2022-05-29,0.028683150238036026
2022-06-05,-0.048196426203554577
2022-06-12,-0.3325948910630543
2022-06-19,0.08234037696901386
2022-06-26,-0.08668517418541932
2022-07-03,0.12148979811258731
2022-07-10,-0.01835092254801951
2022-07-17,0.059232576572496365
2022-07-24,0.05311283604745776
2022-07-31,-0.029153877744886425
2022-08-07,0.06478855077129642
2022-08-14,-0.13507052384112517
2022-08-21,-0.05215072608558069
2022-08-28,-0.010265700483091611
2022-09-04,0.09159182932548071
2022-09-11,-0.07089319550598339
2022-09-18,-0.05931900871150986
2022-09-25,0.02063634681958737
2022-10-02,0.005541415621706847
2022-10-09,-0.017950907304371877
2022-10-16,0.007077310810676085
2022-10-23,0.08359147797243871
2022-10-30,0.023532328960526483
2022-11-06,-0.2106771233139758
2022-11-13,-0.030626174750536528
2022-11-20,0.008936517658181264
2022-11-27,0.025921450040921057
